mesh_code,daytime_population
533924132,403
533924134,1740
533924141,3893
533924142,1262
533924143,833
533924144,3203
533924151,1949
533924152,1361
533924153,3790
533924154,1026
533924161,289
533924162,280
533924163,326
533924164,241
533924171,321
533924172,398
533924173,137
533924174,236
533924181,216
533924182,2313
533924184,201
533924191,22508
533924192,8197
533924193,926
533924194,3841
533924232,994
533924234,602
533924241,1152
533924242,757
533924243,2536
533924244,348
533924251,5424
533924252,2030
533924253,292
533924254,562
533924261,2153
533924262,2814
533924263,382
533924264,259
533924271,1470
533924272,1541
533924273,1583
533924274,1280
533924281,539
533924282,1270
533924283,622
533924284,993
533924291,1764
533924292,622
533924293,1865
533924294,927
533924332,603
533924334,285
533924341,275
533924342,73
533924343,157
533924344,454
533924351,210
533924352,232
533924353,53
533924354,158
533924361,184
533924362,252
533924363,5
533924364,56
533924371,149
533924372,134
533924373,218
533924374,458
533924381,275
533924382,2152
533924383,394
533924384,1465
533924391,1866
533924392,452
533924393,1595
533924394,173
533924432,303
533924434,369
533924441,333
533924442,1436
533924443,719
533924444,1163
533924451,472
533924452,223
533924453,1083
533924454,551
533924461,941
533924462,1803
533924463,964
533924464,456
533924471,3434
533924472,449
533924473,238
533924474,1512
533924481,384
533924482,918
533924483,1267
533924484,132
533924491,1074
533924492,271
533924493,278
533924494,578
533924532,639
533924534,454
533924541,645
533924542,326
533924543,418
533924544,509
533924551,513
533924552,6911
533924553,359
533924554,4594
533924561,1363
533924562,286
533924563,3749
533924564,398
533924571,336
533924572,622
533924573,461
533924574,744
533924581,594
533924582,125
533924583,374
533924584,805
533924591,324
533924592,245
533924593,984
533924594,1142
533924632,1780
533924634,1003
533924641,256
533924642,152
533924643,1340
533924644,122
533924651,113
533924652,397
533924653,318
533924654,160
533924661,5509
533924662,595
533924663,4389
533924664,543
533924671,242
533924672,365
533924673,440
533924674,236
533924681,641
533924682,1196
533924683,614
533924684,284
533924691,753
533924692,639
533924693,196
533924694,302
533924732,319
533924734,58
533924741,1960
533924742,1694
533924743,767
533924744,179
533924751,1670
533924752,736
533924753,409
533924754,1262
533924761,145
533924762,484
533924763,624
533924764,687
533924771,1739
533924772,995
533924773,361
533924774,495
533924781,642
533924782,923
533924783,284
533924784,834
533924791,254
533924792,57
533924793,456
533924794,237
533924832,1242
533924834,157
533924841,3321
533924842,774
533924843,1470
533924844,398
533924851,710
533924852,2080
533924853,136
533924854,292
533924861,116
533924862,194
533924863,519
533924864,858
533924871,147
533924872,453
533924873,512
533924874,719
533924881,240
533924882,660
533924883,774
533924884,475
533924891,270
533924892,486
533924893,778
533924894,948
533924932,364
533924934,422
533924941,1646
533924942,5771
533924943,333
533924944,2124
533924951,157
533924952,2669
533924953,250
533924954,1256
533924961,1184
533924962,1093
533924963,634
533924964,893
533924971,659
533924972,418
533924973,1004
533924974,843
533924981,178
533924982,697
533924983,514
533924984,752
533924991,489
533924992,358
533924993,650
533924994,671
533925101,1071
533925102,2511
533925103,1837
533925104,1256
533925111,184
533925112,335
533925113,99
533925114,342
533925121,232
533925122,482
533925123,495
533925124,580
533925131,294
533925132,1862
533925133,805
533925134,1268
533925141,6356
533925142,4029
533925143,571
533925144,1238
533925151,653
533925152,443
533925153,1271
533925154,1319
533925161,1066
533925162,638
533925163,786
533925164,2372
533925171,1927
533925172,1070
533925173,734
533925174,1631
533925181,199
533925182,27
533925183,1005
533925184,353
533925191,986
533925192,379
533925193,162
533925201,1031
533925202,2079
533925203,1953
533925204,393
533925211,76
533925212,209
533925213,529
533925214,3011
533925221,275
533925222,565
533925223,1084
533925224,62
533925231,367
533925232,1200
533925233,287
533925234,883
533925241,264
533925242,1343
533925243,2902
533925244,1137
533925251,993
533925252,1134
533925253,1700
533925254,1615
533925261,1226
533925262,1763
533925263,1258
533925264,1486
533925271,2336
533925272,925
533925273,1749
533925274,1991
533925281,1404
533925282,837
533925283,1230
533925284,1481
533925291,686
533925292,274
533925293,1011
533925294,539
533925301,148
533925302,860
533925303,262
533925304,1488
533925311,773
533925312,2028
533925313,1555
533925314,2259
533925321,917
533925322,409
533925323,1448
533925324,292
533925331,187
533925332,855
533925333,580
533925334,916
533925341,1345
533925342,1260
533925343,1625
533925344,1398
533925351,2728
533925352,11682
533925353,3932
533925354,32694
533925361,7731
533925362,2480
533925363,15422
533925364,1067
533925371,2356
533925372,946
533925373,990
533925374,1064
533925381,553
533925382,938
